product_name,overall_rating,no_ratings,no_reviews,rating,brand
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,4,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,4,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,4,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,4,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,4,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,4,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,4,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
apple macbook air apple m2 - (8 gb/256 gb ssd/mac os monterey)...,4.7,15210,900,5,apple
